operator,speedup,cpu_avg_dur,gpu_avg_dur,cpu_tol_dur,gpu_tol_dur
sub_,0.6059153516447724,18.76552767517452,30.97054336754305,15256.373999916887,25179.0517578125
clone,0.6199742680360545,41.60289421884268,67.10422732645296,33823.1529999191,54555.73681640626
empty_like,0.622132685631622,9.557853689553381,15.363046999933369,37562.36499994479,28821.076171875
transpose,0.6993437984652081,3.8981692304834725,5.5740384615384615,253.3809999814257,362.3125
ViewBackward,0.7114694556511366,9.593435897193372,13.48397435897436,374.1439999905415,525.875
reshape,0.7280854547129094,8.765903845984631,12.039663461538462,455.82699999120086,626.0625
detach,0.7580880850402301,4.26306832293974,5.623447204968944,686.3539999932982,905.3749999999999
stack,0.7691183032783246,8197.347923075842,10658.110576923076,106565.52299998594,138555.4375
cat,0.8316480310524605,8003.682692306761,9623.882211538461,104047.8749999879,125110.46875
_cat,0.8317349279664,7990.93330769334,9607.548076923076,103882.13300001342,124898.12499999999
nll_loss_forward,0.8510746937858836,47.43923076804584,55.74038461538461,616.7099999845959,724.625
resize_,0.8547836030799185,2.5823302920212137,3.0210339584389256,9905.819000193376,23842.0
flatten,0.8704340609911869,23.196230769587252,26.64903846153846,301.55100000463426,346.4375
t,0.9188308158719964,12.809738460892381,13.941346153846155,832.6329999580048,906.1875
view,0.9240503828483768,6.266484513099181,6.781539869917915,5664.90199984166,15387.31396484375
nll_loss,0.9335597424198337,56.45792307643793,60.47596153846154,733.9529999936931,786.1875
ones_like,0.9642441314186009,17.773615383937095,18.432692307692307,231.05699999118224,239.625
random_,0.9890374051780908,29.053999999999974,29.37603759765625,29.053999999999974,29.37603759765625
expand,0.9965517664399748,7.79753846096663,7.824519230769231,202.73599998513237,203.4375
addcmul_,1.0885363935275203,26.21783850932511,24.085403726708076,54873.93600001745,50410.75000000001
div_,1.1002190289821496,36.09615017870807,32.80814931196187,30284.66999993607,26673.025390625
resize_as_,1.1246754219528379,5.763961537508294,5.125,149.86299997521564,66.625
adaptive_avg_pool2d,1.5002331201531731,499.6136923071642,333.02403846153845,6494.977999993134,4329.3125
mean,1.557864407355439,440.23899999973725,282.59134615384613,5723.106999996584,3673.6874999999995
AddBackward0,1.6833882353070262,3.052658653869562,1.8134014423076923,634.953000004869,377.1875
is_floating_point,1.713430251253453,3.040357142826273,1.7744271414620536,42.56499999956782,24.84197998046875
sqrt,1.7754063225501644,65.44859818444884,36.864010989010985,136983.91600005142,77156.37499999999
addcmul_out,1.7754220623980819,23.560287625338425,13.270246058289537,49311.68199983332,27774.625
empty,1.8839256475151567,7.073078965172852,3.7544363677526436,135612.1429992591,81354.88165283203
addcdiv_,2.8371360196103343,81.84859531776952,28.84902054467272,171309.1100000916,60381.0
sqrt_out,3.1858771392179626,60.15930769235524,18.88312231247014,125913.43100009952,39522.375
relu_,3.9807203838709078,1731.8777849292806,435.0664246467818,1103206.1489999518,277137.3125
threshold_,4.171401930852483,1710.9758916796934,410.16807299843015,1089891.6429999648,261277.0625
mul_,4.37055090288736,77.08042331580833,17.636317486860964,322658.6519999737,73825.625
contiguous,4.51670892687008,66.17485422245824,14.651122154182088,197465.76499981538,164283.03271484375
addcdiv_out,4.571947355582144,78.38115527942541,17.14393215480172,164051.7579998374,35882.25
div,4.630844390189893,248.92419065489383,53.75352088751279,729845.7270001487,157605.3232421875
add_,4.645794742203771,238.65158789122782,51.369378359152705,1509709.9449999072,324962.6875
torch::autograd::AccumulateGrad,5.030598573006416,93.985425704859,18.68275203057812,196711.4960002699,39103.0
log_softmax,5.3319557370775,345.1672307680218,64.73557692307692,4487.173999984283,841.5625
