operator, speedup, cpu_tol_time, gpu_tol_time, cpu_avg_time, gpu_avg_time
sub_, 0.5636884537506875, 15139.959000021194, 26858.7353515625, 18.622335793384003, 33.03657484817035
nll_loss, 0.5766598905398101, 737.5480000004172, 1279.0, 56.73446153849363, 98.38461538461539
addcmul_, 0.6189717225471904, 28635.218000072055, 46262.5625, 12.73242240999202, 20.570281236104936
CatBackward, 0.6938945390754305, 5909.335999992443, 8516.1875, 50.50714529908071, 72.78792735042735
contiguous, 0.7312709186492452, 102427.80999995364, 140068.2119140625, 125.98746617460472, 172.285623510532
is_floating_point, 0.8389111935770613, 31.137000006332983, 37.115966796875, 2.2240714290237844, 2.6511404854910716
flatten, 0.8760238690852143, 284.43399999360554, 324.6875, 21.87953846104658, 24.97596153846154
random_, 0.939776533209904, 29.741999999999962, 31.64794921875, 29.741999999999962, 31.64794921875
LogSoftmaxBackward, 1.0210663714585122, 1210.5380000122823, 1185.5625, 93.11830769325249, 91.19711538461539
sqrt, 1.0218850531066892, 87483.77099991124, 85610.18750000012, 38.898964428595484, 38.065890395731486
div_, 1.0702522091020132, 29028.978999985327, 27123.49365234375, 35.70600122999425, 33.36223081469096
t, 1.1929901146612392, 377.13399999728426, 316.125, 29.010307692098788, 24.317307692307693
add_, 1.2326101251241044, 83458.87600016082, 67709.0625, 18.554663405993956, 15.053148621609605
addcdiv_, 1.2575280274761174, 61806.63799993228, 49149.3125, 27.4818310359859, 21.853851711871943
NllLossBackward, 1.411092044312173, 1751.5180000024848, 1241.25, 134.73215384634497, 95.48076923076923
zeros_like, 1.4799143006908047, 19410.000999997836, 13115.625, 56.09826878612091, 37.90643063583815
adaptive_avg_pool2d, 2.0721525359840505, 5155.385999994818, 2487.9375, 396.56815384575526, 191.37980769230768
mul_, 2.244003801631932, 156570.1760000768, 69772.6875, 34.80884304136879, 15.511935860382392
dropout, 2.3525843179325623, 4243.62099999073, 1803.8125, 326.4323846146715, 138.75480769230768
div, 2.62563823807596, 397486.577999862, 151386.650390625, 129.81272958845918, 49.44044754755878
torch::autograd::AccumulateGrad, 2.9319037817076667, 92244.47300001839, 31462.3125, 41.01577278791391, 13.989467541129391
relu_, 3.5501512744434063, 366512.95799998956, 103238.6875, 494.61937651820455, 139.3234649122807
log_softmax, 4.168828816040675, 5143.03199998918, 1233.6875, 395.61784615301383, 94.89903846153847
MaxPool2DWithIndicesBackward, 4.188127713154997, 1452707.59000001, 346863.25, 8595.902899408344, 2052.445266272189
cat, 4.331706104018797, 341152.3130000241, 78757.03125, 2624.248561538647, 605.8233173076923
addmm, 5.830216790079102, 16337.724999999162, 2802.25, 1256.7480769230124, 215.55769230769232
batch_norm, 6.042062935265866, 1453038.722000083, 240487.1875, 1960.9159541161714, 324.54411268556004
MeanBackward1, 6.085142872206021, 14430.536000007065, 2371.4375, 1110.0412307697743, 182.41826923076923
mul, 7.004585168270684, 37397.9179999702, 5339.0625, 958.9209743582103, 136.89903846153845
AddmmBackward, 7.656844828365436, 31743.84299999778, 4145.8125, 2441.834076922906, 318.90865384615387
ReluBackward1, 8.421133739400872, 1177588.1840000346, 139837.25, 1589.1878326586161, 188.7142375168691
NativeBatchNormBackward / CudnnBatchNormBackward, 8.605714, 2232289.131000008 ,259505.9375, 3012.5359392712658, 350.2104419703104
conv2d, 9.31609227369474, 6722497.425000027, 721600.5625, 9072.196255060764, 973.8199224021592
MkldnnConvolutionBackward / CudnnConvolutionBackward, 9.9145711, 1.207718014700003E7 , 1218124.3125, 16298.488727395452, 1643.89245951417
max_pool2d, 22.04885592133698, 2725602.3979999525, 123616.5, 16127.824840236406, 731.4585798816568
add, 42.168394988791164, 777161.5429999061, 12710.3125, 687.1454845268843, 16.295272435897434
