operator,speedup,cpu_avg_dur,gpu_avg_dur,cpu_tol_dur,gpu_tol_dur
resize_as_,1.1085840179558857,5.967166665881777,5.382692307692308,465.4389999387786,349.875
resize_,1.157418610081028,3.5100553297484995,3.0326584514679347,8627.716000521812,10923.6357421875
nll_loss,1.181249859462638,60.59584615608821,51.29807692307692,787.7460000291467,666.875
transpose,1.1953247115222467,6.6355846165273435,5.551282051282051,1293.939000222832,1082.5
div_,1.2589359463044978,41.157082081612224,32.69195879458795,35600.87600059457,26578.5625
t,1.3113185212376393,18.008774358330246,13.733333333333333,3511.710999874398,2678.0
is_floating_point,1.335204062456541,2.5990714297688435,1.9465724400111608,36.38700001676381,27.25201416015625
expand,1.491357746506241,8.484487179642878,5.689102564102564,330.8950000060722,221.875
ones_like,1.8885787864044938,29.61800000601663,15.682692307692308,385.0340000782162,203.875
ViewBackward,2.15072163999519,27.291538457744398,12.68947963800905,354.78999995067716,2804.375
flatten,2.3372892037538957,57.03884614545565,24.403846153846153,741.5049998909235,317.25
_adaptive_avg_pool2d,2.84290285608449,2375.5186923024457,835.5961538461538,30881.742999931794,10862.75
adaptive_avg_pool2d,2.844947100101186,2387.772307693099,839.3028846153846,31041.040000010285,10910.9375
reshape,2.940474586349219,32.395115380605255,11.016968325791856,842.2729998957366,4869.5
LogSoftmaxBackward,3.0559731349795807,122.50338461278723,40.08653846153846,1592.543999966234,521.125
_log_softmax_backward_data,3.152894778647617,114.38338461382172,36.27884615384615,1486.9839999796823,471.625
add_,3.624068639654274,1412.7027319937974,389.8112515133172,2039942.7449990434,643968.1875
relu_,3.8893024676922554,6727.804538462282,1729.8229166666667,1574306.262000174,404778.5625
threshold_,3.914826148950599,6669.710431625311,1703.7053952991453,1560712.2410003226,398667.0625
div,4.2484999792162625,525.0698217291133,123.58946082094013,686266.2569999511,161531.42529296875
addcmul_,5.318510623655193,1020.9562105257855,191.9628036437247,504352.3679997381,94829.625
AdaptiveAvgPool2DBackward,5.455389921936647,3850.6135384577256,705.8365384615385,50057.97599995043,9175.875
_adaptive_avg_pool2d_backward,5.463018458671025,3836.089538459881,702.1923076923077,49869.16399997845,9128.5
addcmul_out,5.485069122037514,1016.1132186244954,185.25075910931173,501959.93000050075,91513.875
addcdiv_,6.920680419879442,1735.155726719708,250.7203947368421,857166.9289995357,123855.875
dropout,7.043239655049252,777.3975769260612,110.375,20212.33700007759,2869.75
addcdiv_out,7.091133849803014,1729.2210769230417,243.85678137651823,854235.2119999826,120465.25
MaxPool2DWithIndicesBackward,7.439900570910164,52121.62558461875,7005.6884615384615,3387905.6630002186,455369.75
max_pool2d_with_indices_backward,7.440292370665531,52097.84290769182,7002.123076923077,3386359.788999968,455138.0
log_softmax,8.480446969705747,516.6549230774579,60.92307692307692,6716.514000006952,792.0
_log_softmax,8.750089052482156,502.62530768777316,57.44230769230769,6534.128999941051,746.75
mul_,9.880450268251044,1305.5257449397961,132.13221153846155,1289859.4360005185,130546.62500000001
ReluBackward1,10.166192484166512,25452.838709400567,2503.6746794871797,5955964.257999732,585859.875
threshold_backward,10.174107342710244,25435.578145300467,2500.0304487179487,5951925.2860003095,585007.125
sqrt,13.02036258657952,1889.8733421056438,145.147520242915,933597.431000188,71702.875
zeros_like,13.616443370100864,8516.156934131946,625.4318181818181,1422198.208000035,96316.49999999999
max_pool2d,13.791184869065168,31691.333923076167,2297.941346153846,2059936.704999951,149366.1875
max_pool2d_with_indices,13.809952304430364,31681.65059999897,2294.117307692308,2059307.288999933,149117.625
sqrt_out,13.941456272698646,1881.2182004044232,134.9369939271255,929321.7909997851,66658.875
AddmmBackward,14.097121898588163,39531.76371794984,2804.24358974359,1541738.785000044,109365.5
conv2d,14.207532298974423,247293.35085096167,17405.791917067305,5.143701697700003E7,3620404.7187499995
convolution,14.21052027947219,247286.48869230945,17401.649188701922,5.143558964800037E7,3619543.03125
_convolution,14.213438784666323,247278.64933173143,17397.52448918269,5.143395906100014E7,3618685.09375
mm,14.326316983722222,19726.35125640874,1376.9310897435898,1538655.3979998818,107400.625
addmm,14.8984461834416,28545.327384613956,1915.9935897435898,1113267.7679999443,74723.75
torch::autograd::AccumulateGrad,15.56467069605595,2768.7193987849264,177.88486842105263,1367747.3829997536,87875.125
zero_,15.839270776890286,3479.3684693294554,219.6672131147541,2439037.296999948,133997.0
NllLossBackward,15.891703435586402,253.50323076574847,15.951923076923077,3295.5419999547303,207.375
fill_,16.459575108497578,1557.4556283525876,94.6230761174704,2438975.5140001522,135878.7373046875
nll_loss_backward,19.26974824052872,236.98084615034838,12.298076923076923,3080.750999954529,159.875
